id,question,predicted,correct,country,category,evidence,suggestions
es-EC_023,How many provinces does Ecuador have?,B,C,EC,data_quality,Context retrieved but answer unclear,Manual review needed: possible ground truth error or conflicting sources
es-EC_025,What name does Ecuador receive for its geographic and cultural diversity?,C,B,EC,data_quality,Context retrieved but answer unclear,Manual review needed: possible ground truth error or conflicting sources
es-EC_026,What is Ecuador's official currency since the year 2000?,B,C,EC,data_quality,Context retrieved but answer unclear,Manual review needed: possible ground truth error or conflicting sources
es-EC_029,Which Ecuadorian athlete won the first gold medal for the country at the Olympics?,B,A,EC,data_quality,Context retrieved but answer unclear,Manual review needed: possible ground truth error or conflicting sources
zh-CN_039,"Which river is China's ""Mother River""?",A,B,CN,data_quality,Context retrieved but answer unclear,Manual review needed: possible ground truth error or conflicting sources
es-MX_049,What is the most typical street food in the country?,D,C,MX,knowledge_gap,Sparse coverage: Only 0 chunks for MX,Add more entity pages for MX
ko-KR_058,What food is famous as something eaten on moving day in Korea?,A,B,KR,data_quality,Context retrieved but answer unclear,Manual review needed: possible ground truth error or conflicting sources
ko-KR_059,What area of Korea do people studying for the civil service exam mainly live?,D,C,KR,data_quality,Context retrieved but answer unclear,Manual review needed: possible ground truth error or conflicting sources
el-GR_062,What do we celebrate on October 28?,B,D,GR,knowledge_gap,Sparse coverage: Only 0 chunks for GR,Add more entity pages for GR
fa-IR_067,What colors are in the Iranian flag?,A,D,IR,data_quality,Context retrieved but answer unclear,Manual review needed: possible ground truth error or conflicting sources
ar-EG_074,On what day of October did Egypt enter the most famous war in its modern history?,B,C,EG,data_quality,Context retrieved but answer unclear,Manual review needed: possible ground truth error or conflicting sources
ar-SA_084,Which region of Saudi Arabia is famous for growing mangoes during the summer?,A,D,SA,knowledge_gap,Sparse coverage: Only 5 chunks for SA,Add more entity pages for SA
ar-SA_085,"Who is the artist known as the ""Artist of the Arabs"" in Saudi Arabia?",C,B,SA,knowledge_gap,Sparse coverage: Only 5 chunks for SA,Add more entity pages for SA
ar-SA_086,On what day does Saudi Arabia celebrate the Saudi Foundation Day (Saudi Founding Day)?,D,A,SA,knowledge_gap,Sparse coverage: Only 5 chunks for SA,Add more entity pages for SA
ar-SA_088,Who is the best Saudi player currently at Al-Hilal Saudi Club?,D,B,SA,knowledge_gap,Sparse coverage: Only 5 chunks for SA,Add more entity pages for SA
ar-SA_089,In which city is the historic Masmak Palace located?,A,B,SA,knowledge_gap,Sparse coverage: Only 5 chunks for SA,Add more entity pages for SA
eu-ES_100,What is the most followed sport in the Basque Country?,A,B,ES,retrieval_failure,No substantial context retrieved,Check if entity pages exist in KB; Consider expanding scraper coverage
eu-ES_104,What is the most well-known newspaper written in the local language in the Basque Country?,A,B,ES,knowledge_gap,Question asks about recent/current information,Wikipedia may be outdated for current events
fr-FR_105,What will I do with this lark?,D,A,FR,data_quality,Context retrieved but answer unclear,Manual review needed: possible ground truth error or conflicting sources
fr-FR_108,What do ducks do first when coming out of the water?,B,C,FR,data_quality,Context retrieved but answer unclear,Manual review needed: possible ground truth error or conflicting sources
fr-FR_110,"That year, I sang...",A,C,FR,data_quality,Context retrieved but answer unclear,Manual review needed: possible ground truth error or conflicting sources
fr-FR_111,What cheese is most often eaten hot with a salad?,A,C,FR,data_quality,Context retrieved but answer unclear,Manual review needed: possible ground truth error or conflicting sources
fr-FR_112,What fruit changes its name when dried?,D,C,FR,retrieval_failure,No substantial context retrieved,Check if entity pages exist in KB; Consider expanding scraper coverage
ta-LK_124,Which animal appears on Sri Lanka's national flag?,D,A,LK,data_quality,Context retrieved but answer unclear,Manual review needed: possible ground truth error or conflicting sources
tl-PH_132,Which month is the Language Month usually held in the Philippines?,B,C,PH,data_quality,Context retrieved but answer unclear,Manual review needed: possible ground truth error or conflicting sources
bg-BG_136,What is Bulgaria's national holiday?,C,A,BG,knowledge_gap,Sparse coverage: Only 4 chunks for BG,Add more entity pages for BG
bg-BG_138,"Which Bulgarian revolutionary is known as the ""Apostle of Freedom""?",D,A,BG,knowledge_gap,Sparse coverage: Only 4 chunks for BG,Add more entity pages for BG
bg-BG_140,"Who is the author of the novel ""Under the Yoke""?",A,C,BG,knowledge_gap,Sparse coverage: Only 4 chunks for BG,Add more entity pages for BG
