country,total,correct,errors,accuracy,error_rate
FR,8,3,5,37.5,62.5
KR,5,2,3,40.0,60.0
EC,8,4,4,50.0,50.0
BG,7,4,3,57.142857142857146,42.857142857142854
SA,7,4,3,57.142857142857146,42.857142857142854
CN,5,4,1,80.0,20.0
GR,5,4,1,80.0,20.0
IR,5,4,1,80.0,20.0
MX,5,4,1,80.0,20.0
ES,12,10,2,83.33333333333334,16.666666666666664
EG,7,6,1,85.71428571428572,14.285714285714285
LK,7,6,1,85.71428571428572,14.285714285714285
AU,7,7,0,100.0,0.0
GB,5,5,0,100.0,0.0
ID,5,5,0,100.0,0.0
IE,7,7,0,100.0,0.0
JP,7,7,0,100.0,0.0
MA,7,7,0,100.0,0.0
PH,8,8,0,100.0,0.0
SG,21,21,0,100.0,0.0
